,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_External Costs,A.1_RfR Costs,A.1_Expected Number of Deaths,A.1_Expected Annual Damage,A.2_External Costs,A.2_RfR Costs,A.2_Expected Number of Deaths,A.2_Expected Annual Damage
0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,3,0,0,0,0,0,0,7,2,6,8,4,2,5,5,1,0.0,0,0.0,0.0,0.0,0,0.05468991608879561,496041072.4457478
1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,3,0,0,0,0,0,0,6,4,10,1,6,2,1,7,2,0.0,0,0.0023336429780005637,26188648.89391138,0.0,0,0.054629467701841766,495800074.6637609
2,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,3,0,0,0,0,0,0,6,6,4,4,2,0,5,5,1,0.0,0,0.004499740091939836,50923014.3193795,0.0,0,0.05461746485576647,495752221.28954446
3,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,3,0,0,0,0,0,0,7,4,5,3,0,1,5,5,5,0.0,0,0.20007299807713722,2257718294.221117,0.0,0,0.008666328871490697,80876580.19652429
4,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,1,0,0,7,2,9,2,3,6,5,6,4,0.0,0,0.0,0.0,38245121.0,0,0.024402114400983006,212862668.4058499
5,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,3,0,0,0,5,0,0,6,2,6,0,0,1,2,5,6,0.0,0,0.0,0.0,59410102.0,0,0.0018537131360059733,14590244.450636666
6,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,3,0,0,0,3,0,0,7,5,5,3,2,7,6,3,2,0.0,0,0.004499740091939836,50923014.3193795,47842699.0,0,0.006275056055604584,51715827.510516696
7,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,3,0,0,0,4,0,0,7,5,9,6,7,0,2,2,5,0.0,0,0.0,0.0,53358573.0,0,0.004063042412487488,32701353.215128865
8,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,3,0,0,0,2,0,0,4,5,10,3,3,1,5,6,4,0.0,0,0.0,0.0,42818415.0,0,0.01499647361091341,127444740.41860491
9,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,3,0,0,0,3,0,0,1,3,5,1,0,2,5,4,5,0.0,0,0.0,0.0,47842699.0,0,0.006347507288633722,52004678.66671999
10,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,3,0,0,0,5,0,0,4,2,1,5,5,2,9,1,7,0.0,0,0.004499740091939836,50923014.3193795,59410102.0,0,0.0012976185610483924,10369224.324169595
11,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,0,0,0,3,0,0,6,4,5,3,4,6,7,2,6,0.0,0,0.0023336429780005637,26188648.89391138,47842699.0,0,0.006287058901679875,51763680.88473302
12,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,3,0,0,0,1,0,0,6,3,1,5,1,3,10,6,6,0.0,0,0.004499740091939836,50923014.3193795,38245121.0,0,0.024329663167953867,212573817.2496466
13,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,3,0,0,0,6,0,0,7,3,6,0,4,0,4,4,5,0.0,0,0.0,0.0,66045103.0,0,0.0005145360071354846,3946587.0672176536
14,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,4,0,0,1,2,0,0,7,6,6,7,2,6,6,6,5,32694901.0,0,0.14084541979775653,1750789031.347164,42818415.0,0,0.0048093991688575935,31192843.363128006
15,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,0,0,0,2,0,0,6,0,6,6,4,2,5,5,1,0.0,0,0.20007299807713722,2257718294.221117,42818415.0,0,0.0,0.0
16,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,3,0,0,0,1,0,0,1,3,10,6,5,2,5,5,2,0.0,0,0.0023336429780005637,26188648.89391138,38245121.0,0,0.02434166601402916,212621670.62386292
17,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,3,0,0,0,2,0,0,6,2,6,7,7,6,2,4,6,0.0,0,0.004499740091939836,50923014.3193795,42818415.0,0,0.014924022377884271,127155889.26240163
18,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,3,0,0,0,4,0,0,8,2,6,0,0,5,2,5,6,0.0,0,0.004499740091939836,50923014.3193795,53358573.0,0,0.003990591179458351,32412502.058925584
19,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,3,0,0,1,6,0,0,7,4,5,0,6,2,1,5,4,32694901.0,0,0.001555761985333709,19618078.453539945,66045103.0,0,0.00017151200237849488,990174.347262386
20,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,4,1,0,0,0,0,0,6,5,8,3,5,1,5,6,6,32694901.0,0,0.02239026323899514,237225157.44792902,0.0,0,0.05412163998445497,492923196.8333521
21,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,3,0,0,0,2,0,0,1,4,7,1,7,4,5,5,2,0.0,0,0.0023336429780005637,26188648.89391138,42818415.0,0,0.014936025223959565,127203742.63661796
22,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,4,0,0,0,7,0,0,5,4,9,3,4,1,4,5,5,0.0,0,0.0,0.0,73315450.0,0,0.0,0.0
23,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,0,3,0,0,0,0,3,7,9,7,4,6,5,7,5,42291505.0,0,0.06669099935904574,1124823111.5189679,0.0,0,0.03934872034969397,289200999.81167805
24,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,4,0,3,0,1,0,0,6,4,6,3,4,1,5,5,6,42291505.0,0,0.06669099935904574,1124823111.5189679,38245121.0,0,0.016561528903147237,110815684.0527299
25,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,3,0,3,0,3,0,0,6,0,10,5,4,4,5,5,6,42291505.0,0,0.06669099935904574,1124823111.5189679,47842699.0,0,0.004231671525755814,26095306.084156744
26,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,3,0,0,0,6,0,0,5,5,8,5,3,2,4,1,6,0.0,0,0.0023336429780005637,26188648.89391138,66045103.0,0,0.0,0.0
27,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,4,0,0,0,1,0,0,6,2,6,6,3,1,3,6,4,0.0,0,0.20007299807713722,2257718294.221117,38245121.0,0,0.0008803579074756915,8036379.645646017
28,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,1,0,0,2,0,0,6,3,8,6,4,6,5,5,5,32694901.0,0,0.02239026323899514,237225157.44792902,42818415.0,0,0.01442819750657278,124326864.80620912
29,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,3,0,0,1,4,0,0,6,3,6,0,4,5,2,5,10,32694901.0,0,0.14084541979775653,1750789031.347164,53358573.0,0,0.00015584180543840173,943150.9479536872
30,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,3,0,0,1,1,0,0,7,4,5,0,5,0,1,5,4,32694901.0,0,0.001555761985333709,19618078.453539945,38245121.0,0,0.02436181547634711,212682135.4805622
31,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,3,0,0,0,5,0,0,6,3,5,3,7,5,6,5,5,0.0,0,0.0023336429780005637,26188648.89391138,59410102.0,0,0.0017932647490521282,14349246.668649722
32,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,3,0,0,1,0,0,0,7,3,10,7,6,1,5,5,4,32694901.0,0,0.14084541979775653,1750789031.347164,0.0,0,0.02381809924247879,184256534.24823722
33,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,4,0,1,0,0,0,0,5,3,9,7,7,4,5,6,2,32694901.0,0,0.0007778809926668545,13047508.01316851,0.0,0,0.05466976662647766,495921004.3771595
34,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,0,0,1,1,0,0,0,3,7,7,5,5,2,6,5,32694901.0,0,0.14084541979775653,1750789031.347164,38245121.0,0,0.008531518037197917,58643776.093323976
35,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,3,0,0,1,5,0,0,7,5,2,1,4,2,2,5,3,32694901.0,0,0.001555761985333709,19618078.453539945,59410102.0,0,0.0018134142113700766,14409711.525349017
36,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,0,0,0,4,0,0,6,4,9,7,2,1,2,5,5,0.0,0,0.0023336429780005637,26188648.89391138,53358573.0,0,0.004002594025533643,32460355.433141924
37,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,3,0,0,1,3,0,0,7,4,6,7,3,2,5,5,5,32694901.0,0,0.14084541979775653,1750789031.347164,47842699.0,0,0.001340209113730452,8458566.577055274
38,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,0,0,3,0,0,0,7,4,6,3,3,0,5,5,3,42291505.0,0,0.13338199871809148,1691270702.8700423,0.0,0,0.024007524610592336,185038790.0041012
39,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,3,0,1,1,2,0,0,1,4,7,1,3,6,5,4,5,66507014.0,0,0.07548303238514903,1194593901.467743,42818415.0,0,0.009788074243510782,63107477.62542069
40,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,4,0,0,1,2,0,0,7,2,10,4,1,3,2,5,5,32694901.0,0,0.001555761985333709,19618078.453539945,42818415.0,0,0.014956174686277513,127264207.49331725
41,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,4,0,0,3,3,0,0,6,0,8,0,4,1,5,4,5,42291505.0,0,0.13338199871809148,1691270702.8700423,47842699.0,0,0.002115835762877907,13047653.042078372
42,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,0,1,1,0,0,0,0,3,7,0,5,3,2,6,5,66507014.0,0,0.07548303238514903,1194593901.467743,0.0,0,0.03913914551926248,288358279.1991148
43,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,3,0,0,2,0,0,0,7,4,5,3,3,1,4,5,4,37255203.0,0,0.13471061066452972,1701523164.3416958,0.0,0,0.023987375148274384,184978325.1474019
44,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,0,1,0,0,0,0,4,4,10,4,4,1,5,5,5,32694901.0,0,0.08161784151837584,1243859768.473211,0.0,0,0.03896986961346688,287636488.2999501
45,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,4,0,2,0,0,0,0,7,3,10,4,4,0,4,5,2,37255203.0,0,0.06934822325192222,1145328034.4622748,0.0,0,0.039308421425058075,289080070.0982795
46,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,0,2,1,0,0,0,5,4,5,6,3,3,2,5,5,72222705.0,0,0.06801961130548398,1135075572.9906213,0.0,0,0.03932857088737603,289140534.95497876
47,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,1,1,1,0,0,0,9,2,5,4,2,0,2,5,7,101474517.0,0,0.008792033026103289,128440961.96533944,0.0,0,0.054480341258364116,494427243.48838073
48,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,3,0,1,2,2,0,0,5,3,1,7,5,4,5,7,2,71223146.0,0,0.07415442043871079,1184341439.9960895,42818415.6714978,0,0.00980822370582873,63167942.482119985
49,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,4,1,0,1,0,0,0,6,2,3,6,0,3,5,5,2,66507014.0,0,0.016255454105768334,187959290.44246092,0.0,0,0.05429091589025056,493644987.73251677
50,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,3,0,1,2,0,0,0,1,3,6,2,4,3,2,4,5,71223146.0,0,0.07415442043871079,1184341439.9960895,0.0,0,0.039159294981580425,288418744.0558141
51,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,3,1,1,0,0,0,0,6,4,4,3,7,5,3,5,5,66507014.0,0,0.010120644972541532,138693423.43699285,0.0,0,0.054460191796046165,494366778.63168144
52,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,3,0,0,1,0,0,0,4,5,7,1,6,0,5,2,5,32694901.0,0,0.001555761985333709,19618078.453539945,0.0,0,0.05464961716415971,495860539.5204602
53,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,3,0,1,0,5,0,0,4,3,2,0,5,0,5,4,3,32694901.094161935,0,0.0021977172685978407,31045524.00335442,59410102.0,0,0.0016683482776867799,12487280.141674977
54,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,3,0,1,0,3,0,0,5,5,0,2,1,0,2,4,5,32694901.0,0,0.0007778809926668545,13047508.01316851,47842699.0,0,0.0063273578263157715,51884610.59813161
55,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,3,1,0,0,1,0,0,7,5,6,1,9,6,2,4,4,32694901.0,0,0.02239026323899514,237225157.44792902,38245121.0,0,0.023833838296642366,209744792.79345405
56,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,0,0,2,5,0,0,2,2,2,2,5,3,4,4,2,37255203.0,0,0.002999826727959891,38146744.1888759,59410102.0,0,0.001482983419367586,11428252.232922286
57,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,1,0,1,1,0,0,9,5,4,2,5,5,5,4,6,66507014.0,0,0.016255454105768334,187959290.44246092,38245121.0,0,0.024003114202437965,210466583.69261873
58,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,4,0,1,1,1,0,0,5,2,7,2,6,3,5,3,1,66507014.0,0,0.07548303238514903,1194593901.467743,38245121.0,0,0.016351954072715738,109972963.44016662
59,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,0,2,0,2,0,0,1,2,1,1,6,2,5,4,5,37255203.0,0,0.06934822325192222,1145328034.4622748,42818415.0,0,0.009957350149306377,63829268.524585366
60,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,0,1,2,1,0,0,6,3,4,3,7,1,5,4,5,71223146.0,0,0.07415442043871079,1184341439.9960895,38245121.0,0,0.01637210353503369,110033428.29686593
61,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,3,1,0,2,1,0,0,1,3,7,6,5,6,4,5,6,71223146.0,0,0.014926842159330093,177706828.97080752,38245121.0,0,0.024023263664755913,210527048.54931802
62,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,3,1,0,1,3,0,0,7,3,0,6,6,6,5,5,7,66507014.0,0,0.016255454105768334,187959290.44246092,47842699.0,0,0.004776104528020862,38242350.4607234
63,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,4,0,1,0,3,0,0,3,3,6,1,1,0,1,6,1,32694901.0,0,0.08161784151837584,1243859768.473211,47842699.0,0,0.002680418227460904,16917133.154110547
64,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,3,1,2,0,1,0,0,2,3,7,1,1,7,5,5,5,71223146.0,0,0.007463421079665047,118188500.49368604,38245121.0,0,0.02421268903286946,211309304.30518198
65,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,1,1,1,2,0,0,6,2,1,7,3,5,7,5,4,101474517.0,0,0.008792033026103289,128440961.96533944,42818415.0,0,0.014786898780481918,125830911.46123776
66,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,3,1,1,0,2,0,0,7,2,7,1,6,3,2,7,5,66507014.0,0,0.010120644972541532,138693423.43699285,42818415.0,0,0.01476674931816397,125770446.60453847
67,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,3,0,0,3,2,0,0,0,4,1,2,2,3,6,4,5,42291505.0,0,0.13338199871809148,1691270702.8700423,42818415.0,0,0.004998824536971137,31975099.11899198
68,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,3,0,1,0,1,0,0,6,3,7,7,1,4,4,3,5,32694901.0,0,0.0007778809926668545,13047508.01316851,38245121.0,0,0.024381964938665058,212742600.33726153
69,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,1,1,1,1,0,0,1,4,6,2,5,4,5,5,5,101474517.0,0,0.008792033026103289,128440961.96533944,38245121.0,0,0.02419253957055151,211248839.4484827
70,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,3,0,1,0,2,0,0,6,4,0,1,6,6,5,2,4,32694901.0,0,0.08161784151837584,1243859768.473211,42818415.0,0,0.009618798337715187,62385686.72625601
71,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,3,1,0,2,3,0,0,6,5,0,0,5,6,4,5,5,71223146.0,0,0.014926842159330093,177706828.97080752,47842699.0,0,0.004796253990338811,38302815.31742269
72,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,0,2,1,2,0,0,5,1,6,0,1,2,2,5,6,72222705.0,0,0.06801961130548398,1135075572.9906213,42818415.0,0,0.009977499611624325,63889733.38128466
73,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,4,0,2,1,3,0,0,6,0,0,1,10,1,4,5,0,72222705.0,0,0.06801961130548398,1135075572.9906213,47842699.0,0,0.004211522063437865,26034841.22745745
74,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,3,0,2,0,3,0,0,5,2,6,5,6,3,2,6,5,37255203.0,0,0.06934822325192222,1145328034.4622748,47842699.0,0,0.0041913726011199165,25974376.370758153
75,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,1,0,2,0,0,0,6,4,6,5,6,7,5,5,3,71223146.0,0,0.014926842159330093,177706828.97080752,0.0,0,0.054311065352568515,493705452.58921605
76,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,3,1,2,0,0,0,0,4,2,2,6,1,7,4,4,3,71223146.0,0,0.007463421079665047,118188500.49368604,0.0,0,0.05450049072068206,494487708.34508
