,A.1 External Costs,A.1_Expected Number of Deaths,A.1_Expected Annual Damage,A.2 External Costs,A.2_Expected Number of Deaths,A.2_Expected Annual Damage,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,0,0.9346607926738404,1171893258.746,0,0.0763093087237507,69179950.82795659,47,41.703938639089984,1.0,0.3995366743644586,140.00295336584497,1.0,0.3984209680554418,211.52701196056492,1.0,0.8768999171943969,164.55584657726163,10.0,0.2897612313779169,184.29336154757576,10.0,0.4137382542411635,3.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,base case no policy,dikesnet
1,0,1.7456787019960207,3097169642.65466,0,0.0,0.0,26,189.56297368115813,10.0,0.2003772681575024,198.8306973758609,10.0,0.8602824919964931,275.0475596371575,1.0,0.5706071219844223,166.55557001687347,1.0,0.7040583161677808,193.73201756461745,1.0,0.5471620012115772,1.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,base case no policy,dikesnet
2,0,1.769682567193334,2536524365.9371576,0,0.0079135010538904,8709429.057388024,62,313.5522026759071,10.0,0.2899448632335321,107.93969537271188,1.0,0.1693232791544631,248.00516946730096,1.5,0.0412444896141461,45.08213798411364,10.0,0.0454505135451026,225.78544051824616,1.5,0.9563702317637108,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,base case no policy,dikesnet
3,0,0.07885236865844,128377305.47213624,0,0.1972610908621958,250981315.5890516,97,238.5225579180161,1.5,0.5995706255509251,232.8034846523051,10.0,0.279913659281803,337.59897298375984,1.5,0.2195539173747917,33.38100801274148,1.5,0.3319699671483778,328.41710787187174,1.0,0.0509151445232179,1.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,base case no policy,dikesnet
4,0,1.7549460714093117,2433748499.536997,0,0.3162958533084591,357853644.8721592,132,193.6295122475569,10.0,0.0143882981961809,56.9415841371855,1.5,0.0227816634836837,299.6571221425104,1.0,0.7923091729817119,165.06764393435375,10.0,0.0370560174983552,37.26112266620352,1.0,0.3925362597802801,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,base case no policy,dikesnet
5,0,0.0,0.0,0,0.7711491333300239,920559425.5246712,21,249.12065673977023,1.0,0.964300388042984,89.65514529026612,1.5,0.0270697993573295,212.94329957283085,1.5,0.5304574376694056,188.75434500650465,10.0,0.4187777994340108,171.2498730332703,10.0,0.1420340692154521,2.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,base case no policy,dikesnet
6,0,0.0,0.0,0,0.0116022241186528,8443351.185180182,4,171.9942528434107,1.0,0.9633375703297016,54.46961804141746,10.0,0.9671939386255792,328.71249587208604,1.5,0.4158481851999898,254.3301177782371,10.0,0.1150425077983469,105.52905275297616,1.5,0.6921769036404521,3.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,base case no policy,dikesnet
7,0,0.0147992404038036,16046519.65416588,0,0.0316934519615022,25625710.12299165,56,217.5243342324265,1.0,0.7748692102997229,328.0327978049538,1.5,0.6766644302693291,34.291342999066984,1.5,0.4656824163528882,296.50920849096644,1.0,0.3236372637097934,145.34210881747163,10.0,0.6392989571543384,4.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,base case no policy,dikesnet
8,0,1.5905170373206787,2553596735.0958204,0,0.0,0.0,45,161.2469937840484,10.0,0.3416461627026559,142.31938312875806,1.0,0.6110670592188759,67.67211966737675,1.0,0.9853774133383904,119.3130341410968,1.5,0.5844420564912031,92.07462901599594,10.0,0.327848147536694,1.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,base case no policy,dikesnet
9,0,1.7670554813956518,2391952905.2667856,0,0.0,0.0,37,309.92531023531467,1.5,0.0182352041613443,124.61192934198536,1.0,0.7878200733575199,168.85177661436146,10.0,0.7144401946229143,258.85332038250385,10.0,0.4790097736635603,86.7553170639247,10.0,0.0400967582749056,3.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,base case no policy,dikesnet
